tcgdex_id,poketrace_id,name,set,tcgdex_price,poketrace_avg_nm,total_sale_count,ebay_sale_count,tcgplayer_sale_count,platform_count,price_stability,freshness_days,liquidity_score,matched
ecard2-126,019bff7d-2e11-71aa-95c4-0c743737850c,Juggler,Aquapolis,1.03,10.47,105,17,88,2,0.9,0,102.3,True
pl3-81,019bff81-ba58-765c-b247-5f294beaa601,Roserade,Diamond and Pearl,1.02,11.98,104,16,88,2,1.9,0,101.6,True
ex6-98,019bff80-d350-706b-9566-1cb620103a5f,Prof. Oak's Research,FireRed & LeafGreen,1,4.96,122,0,122,1,0.3,0,100.9,True
dp1-39,019bff90-f393-73c5-8bd2-a98368b0b1cc,Vespiquen,SM - Lost Thunder,1.1,0.71,101,4,97,2,0.3,0,100.4,True
ex12-76,019bff80-d350-706b-9565-681bf67bd51d,Power Tree,Legend Maker,1,4.97,94,12,82,2,1.1,0,96.8,True
xy0-11,019bff7f-e2b8-7168-a03e-3ef4dac6ea3a,Panpour,Emerging Powers,1.11,0.95,92,7,85,2,0.6,0,95.9,True
col1-37,019bff83-8640-7057-ac6c-bce357c5dee5,Ursaring,Mysterious Treasures,1,4.99,92,13,79,2,30.1,0,90,True
pl1-109,019bff7e-1600-7088-8280-ed341b793e58,Looker's Investigation,Platinum,1.05,2.84,70,7,63,2,0,0,85,True
ex15-46,,Dratini δ,,1,0,0,0,0,0,0,0,0,False
ex15-33,,Kirlia δ,,1.04,0,0,0,0,0,0,0,0,False
ex15-26,,Bayleef δ,,1.05,0,0,0,0,0,0,0,0,False
base4-114,,Pokémon Center,,1.05,0,0,0,0,0,0,0,0,False
