tcgdex_id,poketrace_id,name,set,tcgdex_price,poketrace_avg_nm,total_sale_count,ebay_sale_count,tcgplayer_sale_count,platform_count,price_stability,freshness_days,liquidity_score,matched
swsh1-86,019bff95-4415-71ab-8e61-fd85b0af9c05,Wobbuffet V,SWSH01: Sword & Shield Base Set,1,0.99,1386,41,1345,2,3.4,0,742.3,True
xy0-3,019bff99-7af0-71d4-a48d-2de4aed3ddf2,Chespin,McDonald's 25th Anniversary Promos,1,0.43,1366,8,1358,2,2.3,0,732.5,True
ex7-67,019bff7e-1601-757e-bd2f-ec281af2fa57,Mareep,Neo Discovery,1.1,0.85,1361,22,1339,2,1.2,0,730.3,True
gym1-52,019bff7e-1600-7088-8281-a82cca47f60a,Lt. Surge's Spearow,Gym Heroes,1.01,0.76,1314,2,1312,2,1.6,0,706.7,True
gym1-83,019bff7e-1600-7088-8281-a82cca47f60a,Lt. Surge's Spearow,Gym Heroes,1.01,0.76,1314,2,1312,2,1.6,0,706.7,True
neo4-80,019bff80-d352-765e-b96f-d76ca8dc4b86,Remoraid,Neo Revelation,1.02,0.51,1289,7,1282,2,2,0,694.1,True
lc-101,019bff80-d350-706b-9565-568252840fe3,Potion Energy,Team Rocket,1.05,1.34,1286,20,1266,2,2.2,0,692.6,True
ex7-49,019bff81-ba5b-72b4-ae79-743fa36c60a0,Skiploom,Neo Revelation,1.07,0.72,1303,0,1303,1,0.3,0,691.4,True
gym1-94,019bff81-ba59-7208-a499-8c4409352057,Sabrina's Mr. Mime,Gym Heroes,1.08,1.59,1268,10,1258,2,2.1,0,683.6,True
swsh1-104,019bff95-4414-759b-8e0b-9553feafb16b,Regirock V,SWSH01: Sword & Shield Base Set,1.06,1.04,1265,34,1231,2,5.4,0,681.4,True
gym2-98,019bff81-ba59-7208-a499-9266e17392a5,Sabrina's Porygon,Gym Challenge,1.04,1.58,1281,0,1281,1,1,0,680.3,True
gym2-95,019bff81-ba59-7208-a499-4895af904a59,Sabrina's Drowzee,Gym Heroes,1.01,1.3,1226,19,1207,2,3.1,0,662.4,True
swsh1-139,019bff9f-d1f6-73bc-9afe-bb17516a4294,Zamazenta V,SWSH10: Astral Radiance Trainer Gallery,1.01,6.85,1196,21,1175,2,0,0,648,True
xy4-93,019c3ac3-ec69-768f-9596-57e240f10d02,Dimension Valley,XY - Phantom Forces,1.08,1.08,1065,13,1052,2,1.9,0,582.1,True
